x,y,z,,
0.0659048,0.000906803,0.00635069,,
0.0674079,0.000893356,0.00635069,,
0.0689097,0.00086581,0.00635069,,
0.0704124,0.000836089,0.00635069,,
0.0719152,0.000829414,0.00635069,,
0.0734172,0.000801381,0.00635069,,
0.0749204,0.000778977,0.0063507,,
0.0764223,0.000737932,0.0063507,,
0.0779227,0.000709943,0.0063507,,
0.0794265,6.93E-04,0.00635071,,
0.0809282,6.57E-04,0.00635071,,
0.0824321,6.12E-04,0.00635071,,
0.0839336,5.95E-04,0.00635071,,
0.0854362,5.55E-04,0.00635072,,
0.0869384,0.000505235,0.00635073,,
0.0884408,0.000492193,0.00635073,,
0.0899422,0.000437185,0.00635073,,
0.091446,0.000373669,0.00635074,,
0.0929499,0.000342058,0.00635075,,
0.0944506,0.000312416,0.00635075,,
0.0959535,0.000282774,0.00635075,,
0.0974566,0.000216253,0.00635077,,
0.0989603,0.000212383,0.00635076,,
0.100462,0.000176813,0.00635076,,
0.101963,0.000152141,0.00635076,,
0.103467,0.000144567,0.00635076,,
0.104971,0.000106383,0.00635077,,
0.106471,5.63E-05,0.00635077,,
0.107974,7.22E-06,0.00635078,,
0.109478,-2.72E-05,0.00635079,,
0.11098,-7.59E-05,0.0063508,,
0.112483,-0.000102039,0.0063508,,
0.113983,-0.00013005,0.0063508,,
0.115488,-0.000166912,0.0063508,,
0.116988,-0.000224682,0.00635082,,
0.118493,-0.000247993,0.00635082,,
-0.2,0.000499994,0.0238125,,
-0.2,0.000499994,0.022225,,
-0.2,0.000499994,0.0206375,,
-0.2,0.000499994,0.01905,,
-0.2,0.000499994,0.0174625,,
-0.2,0.000499994,0.015875,,
-0.2,0.000499994,0.0142875,,
0.119995,-0.000308398,0.0142883,,
0.119993,-0.000307173,0.0158758,,
0.119993,-0.00030569,0.0174633,,
0.119994,-0.000304064,0.0190508,,
